Data from http://vo.imcce.fr/insola/earth/online/earth/earth.html
Five columns for each time as follows:
  time: thousands of years from present
  eccentricity: (aphelion-perihelion)/(aphelion+perihelion)
  obliquity: radians
  perihelion: angle between equinox & perihelion, radians
  insolation: daily mean TOA solar flux at 65N summer solstice, W/m2
time	eccentricity	obliquity	perihelion	insolation	global.insolation
-400	0.0158102160084811	0.396273469981811	1.07031367547477	465.02905506753	341.992745425743
-399	0.0156330828524705	0.394763117639315	1.38873160675346	461.937982383037	341.991792801524
-398	0.0154979538584795	0.393518708337411	1.70789220072933	460.578632094683	341.991073298545
-397	0.0152110107245224	0.392558215721299	2.0259608248743	461.091776799263	341.989566180607
-396	0.0150130139059364	0.391897491898098	2.34616465281688	463.104936110704	341.988542671022
-395	0.0147459831877895	0.391549761831117	2.66894063964561	466.472778183587	341.987183555466
-394	0.0143832918740003	0.391512753497926	2.99004231071182	470.706070621633	341.985376640691
-393	0.0140902847824481	0.391791046599675	3.31324162572881	475.355527300945	341.98394976929
-392	0.0137172572634897	0.39237702398042	3.63470408900264	479.918905442796	341.982175734817
-391	0.0132993070197328	0.393259461303963	3.96308278884633	484.047205644051	341.980244628323
-390	0.0128929647998906	0.394422383045226	4.28315255177818	487.315135607561	341.978424468622
-389	0.0124143057773081	0.395844994566899	4.60886765407595	489.584023310841	341.976352856128
-388	0.0119480670406665	0.397495942694891	4.93645399014106	490.839483568369	341.974410373002
-387	0.0114032521801355	0.399346010204293	5.26174870498147	491.12808511033	341.972234759037
-386	0.0108245406104657	0.401358562472092	5.58917395123869	490.734509439467	341.97003501757
-385	0.0103194012018029	0.403490917013492	5.92132847858522	490.000463288458	341.968208589076
-384	0.00963026511336012	0.405703129025582	6.2553517508866	489.22146123678	341.965857667515
-383	0.0090488235927553	0.407953226648763	0.310017030043706	488.809499621217	341.964000499398
-382	0.00842494560996129	0.410192939897579	0.649492616732662	489.043424667978	341.962136401749
-381	0.00776574425585182	0.412384668923691	1.00538238279736	490.063716793023	341.960311418757
-380	0.00712367802423955	0.414488019564079	1.36375829652038	492.008122772166	341.958676762419
-379	0.00649382279338564	0.416460948411679	1.72841105915171	494.769192376924	341.957210198391
-378	0.00590371473832647	0.418268317246014	2.12693412983476	498.190277078391	341.955959292391
-377	0.00533428543815994	0.419878581024604	2.52954507664917	501.955368549599	341.954865129256
-376	0.00481611660096053	0.42125458479375	2.97030897051002	505.771153563758	341.953965830545
-375	0.00448009474339009	0.422367844324565	3.42970779178771	509.154732891303	341.953431733442
-374	0.00421942904752157	0.423195399782193	3.92867788226481	511.841635581121	341.953044007991
-373	0.00415504831859073	0.423706336480975	4.44022334731422	513.458288218304	341.952951823547
-372	0.00429770446731848	0.423886266486345	4.93909185506278	513.853079622649	341.953157997081
-371	0.00459151769571163	0.42372047377624	5.4345846821624	512.904982069445	341.953604557885
-370	0.00510012137891019	0.42319861657057	5.89110944893366	510.784557890209	341.954447358192
-369	0.00560414004409319	0.422323825294412	0.04546025078632	507.552529360691	341.955369833269
-368	0.00628957372433714	0.421106271070776	0.444159767177092	503.701147317235	341.956763755842
-367	0.00704711825442519	0.419557688566277	0.830399723415755	499.446028184176	341.958491255466
-366	0.00776640962025909	0.417711969680268	1.20720016322495	495.324202754417	341.960313185865
-365	0.0086067796057915	0.415600950199433	1.55700564105706	491.630018468268	341.962665959813
-364	0.0094212759355966	0.413264365567693	1.90670815701533	488.740813307076	341.965176826606
-363	0.0103150740627134	0.410755354909157	2.24952895411263	486.792282032644	341.96819332058
-362	0.0111604049710665	0.408130071152074	2.58191812648304	485.910810861097	341.971297718991
-361	0.012031251619594	0.405442285158484	2.91298477235226	486.001298427436	341.974751492016
-360	0.0129872223250069	0.402761657169738	3.2395778568478	486.843524921797	341.978841650225
-359	0.0138021345605411	0.400152245283309	3.56460223468987	488.117529084901	341.982575206808
-358	0.0147233474626251	0.397680688564429	3.88782809976537	489.451053739981	341.987069467786
-357	0.0156014747532795	0.395417700102716	4.20625196741724	490.337961645016	341.991623942118
-356	0.0164693742204375	0.393426695389479	4.52950654340393	490.455785594854	341.996384744378
-355	0.0173268486992294	0.391767775643216	4.84809722322262	489.430612110768	342.001341621401
-354	0.0181613411048375	0.390498775262219	5.16399713564982	487.13379221548	342.006407375476
-353	0.0190234165854988	0.389659792228283	5.48520771489886	483.541330838167	342.011891006305
-352	0.0198339173593465	0.389280339828329	5.79907685626515	478.920272877524	342.017278727346
-351	0.0205976614572042	0.389384015582143	6.11597824539683	473.548208315655	342.022561568586
-350	0.0214453539768308	0.389964334661804	0.145816411323371	468.052597737675	342.028659083563
-349	0.0221817691995717	0.391006293051405	0.460013172325676	462.922906196325	342.034156037333
-348	0.022905546034148	0.392484958280746	0.77094705115882	458.864017937235	342.039739748047
-347	0.0236924000627232	0.394350052962336	1.07975501888181	456.321793946242	342.046013789543
-346	0.0243591209493803	0.396545183940084	1.38830880506241	455.863315756316	342.051496054611
-345	0.0250858446490843	0.399010709426069	1.69435357511489	457.663359539059	342.057645307938
-344	0.0257272688406507	0.401666661470437	1.99651465703552	461.92834068314	342.0632232559
-343	0.026397312536178	0.404440966010928	2.29899634974263	468.500830998132	342.069200775772
-342	0.0270388603699563	0.407257301111233	2.59847928880432	477.10910710453	342.075068399696
-341	0.0276057927418616	0.410034042070912	2.89526565405614	487.258057533361	342.080371112219
-340	0.0282146209150955	0.41269890993807	3.19046414655112	498.281745233098	342.086188501441
-339	0.0288111056595442	0.415184965629648	3.48430488447967	509.454270374654	342.09201131206
